pixels,value,x,y
5.0,179.220225024,120.92450252799999,49.45618227199999
15.0,209.84109408754463,693.9534765936036,53.9999857201557
16.0,178.12031331334595,507.96351703276724,55.99991492214939
27.0,162.26596368030587,326.996966213229,71.99999999999999
16.0,236.4469223540534,228.96320011028354,82.99999415277031
20.0,152.10933540568217,80.98584209678828,107.99974037936738
12.0,196.765410013214,482.9070999054903,115.99875781634839
17.0,162.04433708262957,146.9708255980937,125.9999976052714
28.0,188.13021246582173,186.99757495114937,140.99999997239303
20.0,150.40292836325716,289.9853462338154,148.99999415397943
15.0,233.3798822890689,254.96309170615257,161.99758194205103
37.0,188.02012015032682,282.9996753497392,164.0
11.0,214.9956175673576,526.9043292961522,167.9854464240076
39.0,248.00041538374867,746.9997922541883,169.99999999999997
34.0,245.99996184518025,736.9993656745205,201.99999999950268
10.0,247.39015193039273,166.90512808185719,231.97699128307934
16.0,244.18153987227623,394.96343196217555,235.9999149221494
12.0,214.82217989874982,766.9219934378182,239.99073228718245
28.0,182.15465498175803,429.9975749235424,243.99999997239303
8.0,233.9222527697342,188.8762029081857,251.9412465254249
14.0,171.60151794031663,455.1058269759682,265.9450197276712
10.0,157.14619968551938,693.9048112582874,265.9773158483637
10.0,188.294846179445,418.9051280818572,283.9769912830793
37.0,160.01686865139294,554.9996753499394,287.99999999993327
15.0,222.5325175516453,538.9539185544061,311.99983364019084
4.0,159.80224,104.0,322.16032
12.0,182.09206143307176,647.9083368411933,322.99875831851654
12.0,193.83181978426626,654.9070989011541,332.9987583185165
14.0,191.9440519009482,515.1058269759683,335.9450197276712
8.0,174.9311749689863,277.1452868705352,341.7829061023705
13.0,244.37690216344592,164.9249815479723,351.9999146377895
8.0,163.09395849539885,216.72585647053515,375.9926213023705
7.0,209.0886580038312,80.79505615729457,381.8960862555705
14.0,194.12966697761345,494.95223387798006,399.9962174242189
51.0,180.00039962731682,732.9999857272684,411.0
33.0,190.04753689750257,233.9992069327643,409.99999999999994
18.0,184.54381377508577,224.97872631452935,426.9993661743815
10.0,231.22070666344308,274.8557373275857,439.99519256292535
48.0,188.0017283077529,324.9999721230971,464.00000000000006
12.0,204.49053012109013,759.0760041720835,459.91389142971013
15.0,182.04364546684593,437.95391854269445,465.9998336406821
11.0,184.76406569269201,437.88215941732847,465.9975821483608
8.0,188.812791184194,437.63166278360876,466.0
37.0,170.0253127104661,680.0009734239538,476.99967548144633
17.0,248.05613034555293,578.9708255980937,477.9999976052714
13.0,160.59568043022634,96.9248978416757,479.99991409085067
44.0,249.99999988419316,444.9999319377364,492.0
37.0,248.0006490371073,64.99967534973919,494.0
12.0,192.04900884444976,138.90709890115403,516.9987583185166
10.0,162.9498636728552,362.98091972484264,519.8608937520177
18.0,199.634043376233,656.9780927033211,521.9993661207792
